time[s], rv1_mhd[m/s], rv2_mhd[m/s], rv3_mhd[m/s], rv4_mhd[m/s], rv5_mhd[m/s], sampling_grid[1=yes;0=no]
0.000000 -0.292267 -0.757628 0.476118 0.459003 0.638572 0 
0.000694 -0.413717 0.373613 1.378746 0.155293 0.688856 0 
0.001389 -0.778714 0.018711 0.302485 0.628737 -0.366545 0 
0.002083 -0.270890 0.525934 0.474617 1.654402 0.514666 0 
0.002778 -0.032986 0.181228 0.465515 1.961555 0.533657 0 
0.003472 0.245801 -0.557877 -0.388250 0.761217 -0.302134 0 
0.004167 -0.548257 -0.788968 1.026350 2.106751 0.255054 0 
0.004861 -0.441086 -1.579459 -0.344938 0.719141 0.186984 0 
0.005556 -0.793954 0.058931 0.160939 0.564598 0.093303 0 
0.006250 0.290195 -0.044607 0.365597 0.116174 0.595665 1 
0.006945 -1.374174 0.298258 -0.025697 -0.139161 1.728544 1 
0.007639 -0.159716 0.211504 -0.846144 0.433871 0.198850 0 
0.008334 -0.463355 -0.236447 -0.017845 0.473723 0.310126 0 
0.009028 -0.493724 -0.427396 -0.146031 1.042080 -0.097909 0 
0.009723 0.826689 -0.346016 -0.749930 0.017894 0.028549 0 
0.010417 -0.556450 0.995670 -0.032115 0.819739 0.307207 0 
0.011112 -0.853312 1.399724 -0.183345 0.763550 0.159981 1 
0.011806 -0.740801 0.674275 -0.041676 0.046077 -0.032584 0 
0.012501 -1.130945 0.503345 1.223354 0.621464 1.623079 0 
0.013195 -0.775556 0.505750 1.259046 -0.111912 0.897803 0 
0.013890 -1.230141 -0.182463 -0.037416 0.481829 1.387045 0 
0.014584 0.097148 0.360283 -0.563522 -0.038259 0.428279 0 
0.015279 0.264930 0.116018 1.213478 0.542471 0.115586 0 
0.015973 -0.142496 -0.162571 -0.056382 -0.576721 1.028062 0 
0.016668 -0.314774 -0.611483 0.095517 -0.259812 0.122827 0 
0.017362 -1.004517 1.242255 0.453438 -0.016565 0.732494 0 
0.018057 0.053787 1.006277 -0.762572 -0.172786 2.110611 0 
0.018751 -0.200758 1.799338 -1.201955 0.444738 0.859007 0 
0.019446 -0.699675 0.559125 -1.037644 -0.971087 0.172443 0 
0.020140 -0.365442 -0.939610 -1.419215 0.479118 0.542298 0 
0.020835 -0.453948 1.023961 -0.208047 0.630427 1.155469 1 
0.021529 -0.195777 0.835320 -0.993094 -0.280191 0.711320 0 
0.022224 -0.847300 0.792061 0.403490 -0.604938 1.547432 0 
0.022918 -0.429444 0.462224 -0.289275 -0.241302 1.290698 0 
0.023613 -0.109684 0.268143 -0.384035 0.058086 0.978615 0 
0.024307 -0.504435 0.144201 -0.634502 -0.062490 1.191563 0 
0.025002 -0.882803 0.319560 -0.395334 1.623563 0.604972 0 
0.025696 -1.035632 0.381778 0.511916 -0.446759 0.956689 0 
0.026391 -0.190394 0.109514 0.229983 0.772968 0.446068 0 
