time[s], RV[m/s], err_RV[m/s], logRHK
0.006250 -2.302968 0.100000 -2.159464 
0.006944 -0.758201 0.100000 -0.330290 
0.011111 -1.928576 0.100000 -1.475567 
0.020833 -2.401019 0.100000 -1.327525 
0.034028 -1.574862 0.100000 -1.496478 
0.037500 -1.979419 0.100000 -2.026028 
0.048611 -0.478185 0.100000 -2.504047 
0.065278 -0.263917 0.100000 -1.528730 
0.098611 -2.515452 0.100000 -1.705736 
0.109722 -1.907573 0.100000 0.167777 
0.111111 -1.578627 0.100000 -2.549415 
0.131250 -1.222501 0.100000 -1.048253 
0.133333 -3.407385 0.100000 -2.144479 
0.154167 -2.847027 0.100000 -0.715431 
0.159028 -1.037414 0.100000 -2.357147 
0.164583 -1.160569 0.100000 -2.155881 
0.168056 0.187873 0.100000 -1.373059 
0.168750 0.045592 0.100000 -1.007540 
0.172917 -1.196166 0.100000 -0.965255 
0.192361 -2.968605 0.100000 -2.380661 
0.195833 -2.189582 0.100000 -1.659405 
0.213889 -0.709748 0.100000 -2.672863 
0.245139 -1.426884 0.100000 -0.154168 
0.259722 -0.609107 0.100000 -0.978367 
0.267361 -2.105739 0.100000 -2.088189 
0.304861 -1.415331 0.100000 -1.966609 
0.365278 -1.646801 0.100000 -1.680856 
0.370833 -1.951316 0.100000 -1.325839 
0.372222 -0.629135 0.100000 -2.676528 
0.382639 -0.979559 0.100000 -1.818039 
0.392361 -1.160578 0.100000 -0.709452 
0.410417 -1.465882 0.100000 -1.880630 
0.444444 -1.652726 0.100000 -1.384513 
0.454167 -1.177450 0.100000 -0.842425 
0.459722 -1.018522 0.100000 -1.091512 
0.470139 -1.262642 0.100000 -2.044999 
0.477083 -0.497502 0.100000 -0.974910 
0.479861 -1.274404 0.100000 -1.306073 
0.481944 -1.143281 0.100000 -0.408748 
0.494444 -0.390760 0.100000 -0.877700 
0.512500 -0.335084 0.100000 -0.917951 
0.549306 -0.918627 0.100000 -0.960840 
0.550000 -0.726687 0.100000 -2.014701 
0.555556 -2.062837 0.100000 -1.058218 
0.565278 -2.139599 0.100000 0.050153 
0.581250 0.090705 0.100000 0.211713 
0.608333 -1.382669 0.100000 -1.107087 
0.609028 -2.840590 0.100000 0.221271 
0.620833 -0.836384 0.100000 -1.461712 
0.656250 -1.397334 0.100000 -1.679263 
0.659028 -0.137448 0.100000 -1.581545 
0.698611 -0.665450 0.100000 0.219644 
0.699306 -0.468812 0.100000 -1.272908 
